"№","Авторы","Название","Год","Название источника","Организации","Авторы организаций","Сведения о финансировании","Текст о финансировании 1","Текст о финансировании 2","ISSN","Тип документа","EID","Квартили","SJR","Тематики"
"31","Afonin V.L., Baryshnikov N.V., Zhivotovsky I.V., Kachalov V.V., Kurilovich A.V., Mendeleev V.Y., Sukhorukov R.Y., Utyashev F.Z.","Optical system for controlling the profile of a roll-formed gas turbine engine disk","2015","Journal of Machinery Manufacture and Reliability","Blagonravov Mechanical Engineering Research Institute, Russian Academy of Sciences, Moscow, Russian Federation; Bauman Moscow State Technical University, Moscow, Russian Federation; Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Institute for Metals Superplasticity Problems, Russian Academy of Sciences, Moscow, Russian Federation","Afonin, V.L., Blagonravov Mechanical Engineering Research Institute, Russian Academy of Sciences, Moscow, Russian Federation; Baryshnikov, N.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Zhivotovsky, I.V., Bauman Moscow State Technical University, Moscow, Russian Federation; Kachalov, V.V., Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Kurilovich, A.V., Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Mendeleev, V.Y., Joint Institute for High Temperatures, Russian Academy of Sciences, Moscow, Russian Federation; Sukhorukov, R.Y., Blagonravov Mechanical Engineering Research Institute, Russian Academy of Sciences, Moscow, Russian Federation; Utyashev, F.Z., Institute for Metals Superplasticity Problems, Russian Academy of Sciences, Moscow, Russian Federation","","","","10526188","Article","2-s2.0-84949994668","Q2","0.238","2209; 2210; 2213;"
"32","Ryzhii V., Otsuji T., Ryzhii M., Mitin V., Shur M.S.","Resonant plasmonic terahertz detection in vertical graphene-base hot-electron transistors","2015","Journal of Applied Physics","Research Institute of Electrical Communication, Tohoku University, Sendai, Japan; Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Institute of Ultra High Frequency Semiconductor Electronics of RAS, Moscow, Russian Federation; Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Department of Electrical Engineering, University at Buffalo, SUNY, Buffalo, NY, United States; Department of Electrical, Computer and System Engineering, Rensselaer Polytechnic Institute, Troy, NY, United States","Ryzhii, V., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan, Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Institute of Ultra High Frequency Semiconductor Electronics of RAS, Moscow, Russian Federation; Otsuji, T., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan; Ryzhii, M., Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Mitin, V., Department of Electrical Engineering, University at Buffalo, SUNY, Buffalo, NY, United States; Shur, M.S., Department of Electrical, Computer and System Engineering, Rensselaer Polytechnic Institute, Troy, NY, United States","","","","218979","Article","2-s2.0-84948451531","Q2","0.739","3100;"
"33","Tarassov V.B., Svyatkina M.N., Karabekov B.S.","Cognitive measurements for new generation knowledge acquisition systems","2015","9th International Conference on Application of Information and Communication Technologies, AICT 2015 - Proceedings","CIM Department, Bauman Moscow State Technical University, Russian Federation; Institute of Information and Computing Technologies, Ministry of Education and Sciences of Kazakhstan, Almaty, Kazakhstan","Tarassov, V.B., CIM Department, Bauman Moscow State Technical University, Russian Federation; Svyatkina, M.N., CIM Department, Bauman Moscow State Technical University, Russian Federation; Karabekov, B.S., Institute of Information and Computing Technologies, Ministry of Education and Sciences of Kazakhstan, Almaty, Kazakhstan","","","","","Conference Paper","2-s2.0-84960885397","0","","2210; 2211; 3104; 2500; 1600;"
"34","Lomakin V.O.","Investigation of two-phase flow in axial-centrifugal impeller by hydrodynamic modeling methods","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Hydraulics Hydro Machines and Hydro-pneumoautomatics, Bauman Moscow State Technical University, Moscow, Russian Federation","Lomakin, V.O., Hydraulics Hydro Machines and Hydro-pneumoautomatics, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962480513","0","","2210; 2211; 3104; 2500; 1600;"
"35","Oleg T.","The experience of creating compact energy efficiency hydrostatic servo drive","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Hydromechanics, Hydromachine, Hydo-pneumoatomatic, Bauman Moscow State Technical University, Moscow, Russian Federation","Oleg, T., Hydromechanics, Hydromachine, Hydo-pneumoatomatic, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962552619","0","","2210; 2211; 3104; 2500; 1600;"
"36","Nikitin O.F.","Machine regulation volume hydraulic drive with reciprocating motion of hydraulic motors","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","E10 Department, BMSTU, Russian Federation","Nikitin, O.F., E10 Department, BMSTU, Russian Federation","","","","","Conference Paper","2-s2.0-84962504029","0","","2210; 2211; 3104; 2500; 1600;"
"37","Andreev M.","Control system hydropneumatic of wheel machine with variable elastic characteristic","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Hydromechanics Hydromachine Hydo-pneumoatomatic, Bauman Moscow State Technical University, Moscow, Russian Federation","Andreev, M., Hydromechanics Hydromachine Hydo-pneumoatomatic, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962481421","0","","2210; 2211; 3104; 2500; 1600;"
"38","Pavel S.","Electro-hydraulic drive with separate control of piston groups","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Fluid Mechanics, Hydraulic Machines and Gidro-pneumoautomatics Department, Moscow State Technical University, Moscow, Russian Federation","Pavel, S., Fluid Mechanics, Hydraulic Machines and Gidro-pneumoautomatics Department, Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962574803","0","","2210; 2211; 3104; 2500; 1600;"
"39","Shumilov I.S.","The steering hydraulic drives with centralized or independent power supplies for the main aircrafts","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Fluid, Hydraulic Machines and Gidropneumoautomatics, BMSTU, Moscow, Russian Federation","Shumilov, I.S., Fluid, Hydraulic Machines and Gidropneumoautomatics, BMSTU, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962536246","0","","2210; 2211; 3104; 2500; 1600;"
"40","Semenov S.E.","Mathematical modeling of the electro-hydraulic actuation systems of the machines with tree-like kinematic structure","2015","Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015","Bauman Moscow State Technical University Baumanskayastr., Moscow, Russian Federation","Semenov, S.E., Bauman Moscow State Technical University Baumanskayastr., Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84962547206","0","","2210; 2211; 3104; 2500; 1600;"
"41","Ryzhii V., Ryzhii M., Mitin V., Shur M.S., Otsuji T.","Negative terahertz conductivity in remotely doped graphene bilayer heterostructures","2015","Journal of Applied Physics","Research Institute of Electrical Communication, Tohoku University, Sendai, Japan; Institute of Ultra High Frequency Semiconductor Electronics of RAS, Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Moscow, Russian Federation; Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Department of Electrical Engineering, University at Buffalo, SUNY, Buffalo, NY, United States; Department of Electrical, Electronics, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, NY, United States","Ryzhii, V., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan, Institute of Ultra High Frequency Semiconductor Electronics of RAS, Center for Photonics and Infrared Engineering, Bauman Moscow State Technical University, Moscow, Russian Federation; Ryzhii, M., Department of Computer Science and Engineering, University of Aizu, Aizu-Wakamatsu, Japan; Mitin, V., Department of Electrical Engineering, University at Buffalo, SUNY, Buffalo, NY, United States; Shur, M.S., Department of Electrical, Electronics, and Systems Engineering, Rensselaer Polytechnic Institute, Troy, NY, United States; Otsuji, T., Research Institute of Electrical Communication, Tohoku University, Sendai, Japan","","","","218979","Article","2-s2.0-85016073923","Q2","0.739","3100;"
"42","Drakon A.V., Emelianov A.V., Eremin A.V., Mikheyeva E.Yu.","Opposite influence of haloalkanes on combustion and pyrolysis of acetylene","2015","Journal of Physics: Conference Series","Joint Institute for High Temperatures, Russian Academy of Sciences, Izhorskaya 13, Moscow, Russian Federation; Bauman Moscow State Technical University, 2nd Baumanskaya Street 5, Moscow, Russian Federation","Drakon, A.V., Joint Institute for High Temperatures, Russian Academy of Sciences, Izhorskaya 13, Moscow, Russian Federation; Emelianov, A.V., Joint Institute for High Temperatures, Russian Academy of Sciences, Izhorskaya 13, Moscow, Russian Federation; Eremin, A.V., Joint Institute for High Temperatures, Russian Academy of Sciences, Izhorskaya 13, Moscow, Russian Federation; Mikheyeva, E.Yu., Joint Institute for High Temperatures, Russian Academy of Sciences, Izhorskaya 13, Moscow, Russian Federation, Bauman Moscow State Technical University, 2nd Baumanskaya Street 5, Moscow, Russian Federation","","","","17426588","Conference Paper","2-s2.0-84959010929","Q3","0.241","3100;"
"43","Loktionov E.Y., Pasechnikov N.A., Pavlov A.V., Protasov Y.S., Telekh V.D.","Investigation of electrooptical breakdown threshold in gas mixtures of complex chemical composition","2015","Journal of Physics: Conference Series","State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation","Loktionov, E.Y., State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation; Pasechnikov, N.A., State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation; Pavlov, A.V., State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation; Protasov, Y.S., State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation; Telekh, V.D., State Lab for Photon Energetics, Bauman Moscow State Technical University, 5-1 2nd Baumanskaya Street, Moscow, Russian Federation","","","","17426588","Conference Paper","2-s2.0-84957825078","Q3","0.241","3100;"
"44","Shakhnov V.A., Zinchenko L.A., Rezchikova E.V., Glushko A.A.","An opportunity in engineering education: Russian BYOD tendencies: BMSTU case study","2015","Proceedings of 2015 International Conference on Interactive Collaborative Learning, ICL 2015","Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation","Shakhnov, V.A., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Zinchenko, L.A., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Rezchikova, E.V., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation; Glushko, A.A., Department of Design and Technology of Electronic Devices, Bauman Moscow State Technical University, Moscow, Russian Federation","","","","","Conference Paper","2-s2.0-84964781184","0","","2210; 2211; 3104; 2500; 1600;"
"45","Tataraidze A., Anishchenko L., Korostovtseva L., Kooij B.J., Bochkarev M., Sviryaev Y.","Sleep stage classification based on respiratory signal","2015","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","Bauman Moscow State Technical University, Moscow, Russian Federation; Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Delft University of Technology, Delft, Netherlands","Tataraidze, A., Bauman Moscow State Technical University, Moscow, Russian Federation; Anishchenko, L., Bauman Moscow State Technical University, Moscow, Russian Federation; Korostovtseva, L., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Kooij, B.J., Delft University of Technology, Delft, Netherlands; Bochkarev, M., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Sviryaev, Y., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation","","","","1557170X","Conference Paper","2-s2.0-84953254500","0","","0"
"46","Tataraidze A., Anishchenko L., Korostovtseva L., Kooij B.J., Bochkarev M., Sviryaev Y.","Sleep stage classification based on bioradiolocation signals","2015","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS","Bauman Moscow State Technical University, Russian Federation; Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Delft University of Technology, Delft, Netherlands","Tataraidze, A., Bauman Moscow State Technical University, Russian Federation; Anishchenko, L., Bauman Moscow State Technical University, Russian Federation; Korostovtseva, L., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Kooij, B.J., Delft University of Technology, Delft, Netherlands; Bochkarev, M., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation; Sviryaev, Y., Federal North-West Medical Research Centre, St. Petersburg, Russian Federation","","","","1557170X","Conference Paper","2-s2.0-84953325237","0","","0"
